Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
MMPB,America/Mexico_City,1980-03-24,51.80,82.40,46.40,59.00,1.12,2.30,,SE,3.00,7.00,,,,,NCD,no cloud detected,SCT,partly cloudy,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-25,75.20,80.60,55.40,60.80,4.60,4.70,,SE,6.21,9.32,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-26,51.80,78.80,48.20,55.40,0.00,5.82,,SE,6.21,9.32,,,,,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-27,77.00,78.80,53.60,59.00,4.60,4.70,,SE,9.00,9.32,,,,,CLR,clear,ICC03,three oktas - 4/10,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-28,48.20,80.60,41.00,53.60,0.00,2.30,,E,6.21,9.32,,,,,NCD,no cloud detected,CLR,clear,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-29,53.60,80.60,50.00,59.00,0.00,13.87,,SE,6.21,12.43,,,,,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-30,53.60,78.80,48.20,57.20,0.00,11.51,,S,6.21,9.32,,,,,CLR,clear,ICC03,three oktas - 4/10,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-31,55.40,80.60,48.20,53.60,0.00,4.70,,S,6.21,12.43,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-04-01,51.80,84.20,44.60,57.20,2.24,4.70,,S,6.21,12.43,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-04-02,53.60,84.20,44.60,57.20,0.00,9.21,,S,6.21,9.32,,,,,NCD,no cloud detected,FEW,mostly clear,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-04-03,84.20,87.80,57.20,59.00,1.12,4.70,,S,6.21,9.32,,,,,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-04-04,55.40,55.40,50.00,50.00,0.00,0.00,,,6.21,7.00,,,,,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-04-05,78.80,78.80,51.80,51.80,4.60,4.70,,S,10.00,12.43,,,,,CLR,clear,ICC03,three oktas - 4/10,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-04-06,73.40,80.60,55.40,59.00,0.00,2.30,,SW,9.00,12.43,,,,,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-04-07,50.00,73.40,44.60,55.40,0.00,4.70,,W,6.21,7.00,,,,,NCD,no cloud detected,CLR,clear,DZ,drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-04-08,48.20,82.40,42.80,57.20,0.00,4.70,,N,6.21,12.43,,,,,NCD,no cloud detected,OVC,overcast,IWC60,light intermittent rain,-RA,light rain,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-04-09,60.80,75.20,53.60,57.20,0.00,4.70,,NE,6.21,9.32,,,,,CLR,clear,OVC,overcast,-DZ,light drizzle,IWC50,light intermittent drizzle,,,,,,,,,,,,,,,,,,,,
